Cnty,Lake,Lat,Lon
Stark County,Abbey Lake,46.9002846,-102.3129516
Stutsman County,Adkinson Lake,46.886376,-98.9345532
Stutsman County,Alkali Lake,47.2072193,-99.2084474
Sheridan County,Alkali Lake,47.7586096,-100.2265204
Pierce County,Alkali Lake,47.8522233,-100.0701303
McHenry County,Alkali Lake,47.8944466,-100.3984713
Williams County,Alkali Lake,48.5808615,-103.5876944
Kidder County,Alkali Lake,46.772761,-99.8395507
Sheridan County,Alkali Lake,47.6486109,-100.6351361
Kidder County,Alkaline Lake,46.6610911,-99.5662199
Rolette County,Anderson Lake,48.9108363,-100.0579077
Pierce County,Antelope Lakes,47.9586139,-100.0898551
Logan County,Arnies Lake,46.5833098,-99.1031647
Kidder County,Ashley Lake,46.8974849,-99.741495
McHenry County,Aylmer Lake,47.941391,-100.1984687
Renville County,Bacon Lake,48.9544491,-100.1487415
Stutsman County,Bair Lake,46.9536005,-99.0420554
Stutsman County,Bair Slough,46.879709,-99.0639995
Eddy County,Bakstad Lake,47.7527752,-98.6248256
Stutsman County,Balch Slough,46.7885946,-99.1676105
Stutsman County,Barnes Lake,47.2333311,-99.2773368
McLean County,Bartons Lake,47.8447257,-101.4948854
Nelson County,Basswood Lake,47.6777746,-98.3784328
Pierce County,Battema Lake,48.0541695,-100.1065232
Eddy County,Battle Lake,47.812776,-98.6164933
Emmons County,Baumgartner Lake,46.1683235,-100.196782
Bottineau County,Bear Lake,48.8772276,-100.3015258
Logan County,Beaver Lake,46.3933097,-99.6078884
McLean County,Beaver Lake,47.1666588,-100.9609736
Burke County,Beaver Lake,48.8655882,-102.6410062
Emmons County,Becker Lake,46.0069386,-100.3737354
Rolette County,Belcourt Lake,48.8744497,-99.7582
Rolette County,Belle Lake,48.8941689,-100.0001297
Rolette County,Ben Waters Lake,48.9675052,-99.8951316
McHenry County,Bentley Lake,47.9177807,-100.4404171
Sheridan County,Bentz Lake,47.6369431,-100.4315204
Williams County,Berg Slough,48.6016946,-103.189073
Bottineau County,Bergen Lake,48.9694498,-100.1909647
Sargent County,Berre Lake,46.1344056,-97.3070362
Emmons County,Berreth Lake,46.2102704,-100.4056749
Rolette County,Berry Lake,48.9333372,-100.116797
Kidder County,Big Muddy Lake,46.9249854,-99.7387171
Divide County,Big Slough,48.7003085,-103.2268512
Rolette County,Bigham Lake,48.8144455,-100.0223564
Cavalier County,Billings Lake,48.6008386,-98.4981745
McLean County,Billows Lake,47.5477763,-100.8554194
Kidder County,Bird Lake,46.9885978,-99.7078841
Richland County,Bisek Lake,46.1007937,-97.1731448
Bottineau County,Bittener Lake,48.9936181,-100.2598558
Nelson County,Bitter Lake,47.9536076,-98.1867678
Bottineau County,Black Lake,48.9311251,-100.4937603
McLean County,Blackwater Lake,47.6622258,-101.8190564
Burke County,Blanc Lake,48.6241949,-102.286556
Foster County,Blue Cloud Lake,47.5463859,-98.7695496
McLean County,Blue Lake,47.5466655,-100.7593045
Stutsman County,Blue Lake,47.0999925,-98.664268
Kidder County,Bond Lake,47.0836014,-99.5917768
Sargent County,Boot Lake,46.2441275,-97.3995353
Sargent County,Borg Lake,46.2202388,-97.4075913
Golden Valley County,Bosserman Lake,46.7161232,-103.9096475
Bottineau County,Boundary Lake,48.9950062,-100.2104092
Rolette County,Boyd Lake,48.9813957,-99.823746
Bottineau County,Brager Lake,48.9552843,-100.272357
Rolette County,Brennan Lake,48.9547256,-100.0159601
Divide County,Bright Water Lake,48.7261423,-103.4640791
Kidder County,Brock Slough,47.0744348,-99.542055
Benson County,Broken Bone Lake,48.3497205,-99.8045797
McHenry County,Bromley Lake,48.0555586,-100.3156944
Rolette County,Broom Lake,48.9802839,-99.857633
Ransom County,Browen Lake,46.6002506,-97.8167691
Towner County,Brumba Pool,48.7272277,-99.2443059
McLean County,Brumwell Slough,47.6958377,-101.8643334
Stutsman County,Brush Lake,47.1247166,-99.1276126
McLean County,Brush Lake,47.5302765,-100.7281922
Rolette County,Bu Lake,48.9147263,-99.9018008
Kidder County,Buffalo Lake,46.9302631,-99.7898275
McHenry County,Buffalo Lodge Lake,48.3283399,-100.7573607
Burleigh County,Bunce Lake,47.270271,-100.3537301
